variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	spi_formula	spi_monoisotopic	spi_name	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot	inchi	inchikey	pubchem	chebi	hmdb	kegg	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Bio	supp_QC	supp_Blanc	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV	supp_poolDil_cor	supp_poolDil_pval	supp_redund_samp_mean	supp_redund_is	supp_redund_repres	supp_redund_relative
M660.9192T298_3	c18hyper	M660.9192T298_3	660.919185245974	298.311206134438		[M+H-H20]+ 677.921	8	NA															660.915861937181	660.921703221021	297.572678692671	299.015876273758	62	42	20	0	7.43182804607914e-05	0.09866483388979	0.328203458972508	0.97020373002549	1.75942027796493e-07	496674.766061394	0		
M661.0623T298_4	c18hyper	M661.0623T298_4	661.062253413042	298.313643178566			8	NA															661.058973679099	661.065231980999	297.572678692671	298.804788977474	63	42	21	0	3.11869196969181e-06	0.074086542446364	0.247292058464188	0.947646696139328	2.83592117814826e-06	320601.410061409	0		
M661.2054T298_5	c18hyper	M661.2054T298_5	661.205357002895	298.310435073749		[3M+3Na-H]2+ 418.146	8	NA															661.202111946143	661.207840439362	297.572678692671	299.270643777101	62	42	20	0	5.86265798316436e-06	0.0739561031369655	0.254073155169968	0.925634428456105	1.57945563992249e-05	170447.999806834	0		
M661.3483T298_6	c18hyper	M661.3483T298_6	661.348276796598	298.086469722155		[3M+H+Na]2+ 432.914	80	NA															661.34463944126	661.351316692105	297.169225886843	298.896595059346	63	42	21	0	0.000540160690260734	0.154009179362637	0.592365245455077	0.903723146448245	5.53180577522738e-05	78601.946034467	0		
M661.4168T369_1	c18hyper	M661.4168T369_1	661.416757208542	369.328198539905		[M+Na]+ 638.424	75	NA															661.413722059154	661.42108466256	367.687840703504	370.33262265008	56	37	19	0	0.00422177947883193	0.185539792132829	0.612887723473913	0.924621194963933	1.68709378417657e-05	48266.4762121368	0		
M661.4915T298_7	c18hyper	M661.4915T298_7	661.491467094787	297.983607351587	[1787][M+1]+		80	NA															661.487972819857	661.494675238189	296.895788907247	299.29734381758	60	39	21	0	3.20028554623314e-05	0.113311389300895	0.336833161730506	0.90318212802096	5.6836675659261e-05	31294.297663962	0		
M661.5388T255_1	c18hyper	M661.5388T255_1	661.538765289426	254.556920347887			50	NA															661.53620219043	661.540589611949	253.610491004853	255.174773033998	41	31	10	0	0.000179542370331122	0.202877136159245	0.864844682061012	0.962450465481268	5.51947889146842e-07	5561.95403968203	0		
M661.5509T369_1	c18hyper	M661.5509T369_1	661.550908937456	369.309391923548			75	NA															661.546901156061	661.552124831925	368.443915786437	370.33262265008	60	42	18	0	0.00187546159041932	0.146726609398363	0.5128104816708	0.9559430550949	1.21384362494965e-06	264085.595116994	0		
M661.6344T298	c18hyper	M661.6344T298	661.634359980095	297.833803060536		[M+H-H20]+ 678.636	80	NA															661.630310557285	661.636347741289	296.781040110489	298.798907564055	53	37	16	0	8.07160354031898e-05	0.137402504441729	0.368045764946176	0.802795112130362	0.00166914430204014	12389.6639126945	0		
M661.7398T254	c18hyper	M661.7398T254	661.739771021553	254.358735781778		[3M+H+Na]2+ 433.171 [3M+2H]2+ 440.503	50	NA															661.73603905984	661.741260065127	253.081297060616	255.270864402301	59	41	18	0	0.000104872103926173	0.0991378588138374	0.369226913039113	0.968805257659526	2.20771483997094e-07	9545.59579153059	0		
M661.7513T369_4	c18hyper	M661.7513T369_4	661.75127139291	369.3312784802		[M+H]+ 660.75	75	NA															661.747246306361	661.752694959658	368.392328841542	370.014555673053	60	42	18	0	0.00118416654970269	0.160857031048837	0.537378889888527	0.936980427818951	7.03813317134161e-06	463056.652884371	0		
