variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M271T92	M271.1286T92	271.128603349027	271.12845891085	271.129390499186	92.2155427692591	91.6299008309862	93.7414079360033	5	0	2	3	[336][M+1]-		7													
M271T91	M271.1551T91	271.155118648193	271.154518738561	271.155932667887	91.1480694672241	88.3959727239377	98.0116186013384	58	39	19	0		[M-H-C3H2O3]- 358.173	7													
M271T90	M271.1923T90	271.192274399132	271.191864473668	271.193064131455	89.7668917771192	80.0412953172096	91.7279120199964	62	38	21	3			7													
M271T80	M271.2281T80	271.228058510107	271.22755340052	271.229170197677	80.4211497856812	79.000272044291	81.479449926009	66	42	21	3	[338][M]-	[M+Cl]- 236.256	3													
M271T1208	M271.2282T1208	271.228243946335	271.22780633235	271.229091205697	1208.10967080196	1206.45728650333	1209.03098609179	66	42	21	3			38													
M272T1000	M271.938T1000	271.9380123518	271.937542161185	271.938951275884	1000.32229156154	998.804077239818	1001.07160769947	54	41	13	0		[M+Cl]- 236.964	30													
M272T569	M272.0004T569	272.000360575204	271.999969826602	272.001393495389	569.03734976849	567.971203414855	569.796744191349	61	40	21	0			1437													
M272T486	M272.045T486	272.044972123511	272.044527131408	272.045849451806	486.475703650256	483.968761905025	489.048636248573	59	42	17	0			2													
M272T399	M272.0546T399	272.054638151905	272.054217796	272.055602522218	399.459145035652	393.470298206231	401.58118666931	62	42	20	0		[M-H]- 273.053	16													
M272T442	M272.0627T442	272.062720506451	272.062335991187	272.063596579002	441.771353900158	440.489621008179	444.196393369171	54	33	21	0		[M-H]- 273.074	5													
M272T264	M272.0733T264	272.073279271442	272.072815328287	272.074225728211	264.133915221141	261.13473511722	269.331539375397	60	39	21	0	[337][M+1]-		1													
M272T608	M272.0828T608	272.082816323259	272.082484954804	272.083815755597	607.701772999323	605.101221994789	608.862634841527	59	38	21	0	[339][M]2-		18													
