variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	QC	Blanc	Bio	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M182T134	M182.061T134	182.0609503631	182.060542894124	182.061322079503	134.295167900488	131.535796383781	135.258723930287	56	17	2	37		[M-2H]2- 366.14	34													
M182T475	M182.0637T475	182.063729426512	182.063357063742	182.064093373543	474.980980811736	463.5139126209	482.140037421777	73	24	2	37	[159][M+2]-		3													
M182T334	M182.0713T334	182.071342466441	182.070982740245	182.071786269812	334.126301033629	331.262737769072	335.852526473171	64	23	0	41			21													
M182T449	M182.0753T449	182.075306193581	182.074822024472	182.075679786421	448.505486894176	447.514912858509	453.315485549912	68	24	2	42	[163][M+1]-		8													
M183T363	M182.8251T363	182.825127335318	182.824893219016	182.825506773935	362.739417275771	354.711327815644	378.8846083961	68	24	0	42		[M+Cl]- 147.854	31													
M183T1225	M182.8373T1225	182.837314860056	182.83700888483	182.837698029675	1225.04615496341	1221.62217740712	1245.16254763166	67	24	1	42			694													
M183T1030	M182.9105T1030	182.910507373749	182.910014038405	182.910895416839	1029.69313077201	1028.15640070329	1030.93595359872	67	24	1	42			24													
M183T1024	M182.9316T1024	182.931565351258	182.930980918585	182.931906661413	1024.47875790214	1023.19649648026	1033.05947452294	67	24	1	42	[165][M]-		24													
M183T689	M182.9315T689	182.931536715333	182.931294244578	182.931882135347	688.709585194966	678.002717247108	692.531577261358	50	13	0	37			520													
M183T1217	M182.9315T1217	182.931523641049	182.93104347166	182.931921505412	1216.62958863355	1209.04527558275	1240.01448175314	54	17	2	35		[M-2H+Na]- 161.953	33													
M183T14	M182.9315T14	182.931507679734	182.931267824627	182.931863650258	14.1203281597796	8.1315831962877	27.1398065869357	53	22	0	31			760													
M183T810	M182.9315T810	182.931534440766	182.931276852607	182.931860429103	809.548484644475	775.858034142052	831.076151550232	64	15	0	34			675													
M183T866	M182.9315T866	182.931542398627	182.931057307363	182.931904480469	865.6445684794	840.337390289907	897.808466594334	69	16	1	40		[M-H]- 183.939	52													
M183T351	M182.9412T351	182.941219412583	182.940923260367	182.941605484001	350.67593492814	348.793631550819	357.291839915387	46	14	0	32			31													
M183T540	M182.9704T540	182.970372220293	182.969986260865	182.970856910024	540.382030429507	539.725484846386	541.242256233269	65	24	0	41			14													
M183T384	M182.9713T384	182.971290533825	182.970927773171	182.971547884448	384.056573905947	381.965948035939	385.768024392601	45	18	0	27		[M-H-CO]- 211.977	6													
M183T566	M182.9971T566	182.997082104231	182.996763060703	182.997432043938	565.917503702946	561.475993978222	567.832629495233	51	14	0	37			282													
M183T162	M182.9971T162	182.997053414941	182.996615630663	182.997420620677	162.020143913654	159.665122829655	164.330004142596	43	21	2	20			614													
M183T994	M183.0002T994	183.000173743174	182.999921101333	183.000508826268	993.593226841739	989.916809549114	997.572083804417	66	24	0	42			13													
M183T174	M183.0106T174	183.010623255834	183.010307304007	183.011029629919	174.170133625463	172.659137135332	177.976714085451	59	23	0	36			19													
M183T666	M183.0161T666	183.016125080162	183.01581810846	183.016406544141	666.39591937638	664.585487121954	667.681819722508	48	17	0	31			500													
M183T96	M183.0496T96	183.049641864997	183.049211762843	183.050153864282	96.0436325016479	94.3244704254028	98.5303413675223	58	23	0	35	[164][M+1]-		329													
M183T206	M183.0551T206	183.055073679952	183.054794889852	183.055563899759	205.986674606981	204.274348106407	207.367253822264	56	20	0	36	[162][M+2]-		39													
M183T143	M183.0777T143	183.077724398537	183.077433867809	183.078079615004	143.155070918263	137.048729183785	145.607005435265	66	24	0	42		[M-H]- 184.083	34													
M183T449	M183.0761T449	183.076065914	183.075670262962	183.076517569159	448.886844795691	447.238846498251	452.864943796667	35	19	0	16	[163][M+2]-		8													
M183T233	M183.0875T233	183.087466894202	183.087139994526	183.087865234053	233.139659664805	231.546542073801	235.358515214244	49	15	0	34		[2M-H]- 92.0473	7													
M183T87	M183.1029T87	183.10293848215	183.102579165509	183.103368862359	86.6353938165994	84.1678997586929	87.9737374525222	65	23	0	42		[M-H-C2H4]- 212.138	11													
M183T84	M183.1392T84	183.139203275241	183.138853756778	183.139573023234	83.799611024756	82.9910033215299	85.6046586030987	65	24	0	41			560													
M184T1024	M183.9349T1024	183.934918988648	183.934613895334	183.935237895094	1024.47979709172	1023.19649648026	1030.05889762768	64	22	0	42	[165][M+1]-		24													
M184T993	M183.9842T993	183.98422526673	183.983621669843	183.984568813586	993.31780046832	985.895440070188	997.572083804417	67	24	1	42			13													
M184T713	M184.0002T713	184.000217382927	183.999931632702	184.00054917678	712.837507744942	707.977224910283	714.759777654853	66	24	0	42		[M-H]- 185.01	593													
M184T524	M184.0017T524	184.001687363837	184.00122537062	184.002161064201	523.979181703836	520.070587348561	532.919318296987	58	22	0	35		[M-2H+K]- 147.053	16													
M184T447	M184.0254T447	184.025393462814	184.025110316605	184.02578598683	446.678400759996	437.981471347344	449.712949294822	63	21	0	42		[M+Cl]- 149.055	8													
M184T399	M184.0384T399	184.038368914838	184.038134804648	184.038761140937	398.850301492057	395.681190166333	401.726321291595	64	24	0	40			6													
M184T138	M184.0617T138	184.061674078887	184.061347342063	184.062055922909	137.752946839338	136.089535048152	149.136143061467	58	19	0	39			34													
M184T286	M184.0729T286	184.072917079229	184.072632711932	184.073302041967	285.751242796677	277.488915889402	289.426863992531	51	23	0	28			12													
