variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M223T163_16	M222.7139T163_16	222.713922797481	222.708743894256	222.71874138662	162.811936341645	159.268643401394	164.870832080414	44	29	14	1		[M+H]+ 221.7	12													
M223T163_17	M222.7291T163_17	222.72907612445	222.724130440304	222.733542943922	162.851465678447	159.761998096248	164.870832080414	35	24	10	1		[M+K]+ 183.77	12													
M223T163_18	M222.7382T163_18	222.738209732699	222.734723790985	222.743730171399	162.788924798539	160.045919495962	165.368864596824	30	21	9	0		[M+K]+ 183.77	12													
M223T163_19	M222.7485T163_19	222.748486278066	222.743965086147	222.752849930934	162.788924798539	159.017250438999	164.197425162202	36	24	12	0		[M+K]+ 183.788	12													
M223T163_20	M222.7596T163_20	222.759633101698	222.754048219682	222.763703393347	162.816638809424	159.761998096248	164.61134473799	34	22	11	1		[M+K]+ 183.788	12													
M223T163_21	M222.7693T163_21	222.76930969252	222.764617126223	222.773545112978	162.76597378272	160.120932536515	164.870832080414	33	20	12	1		[M+K]+ 183.812	12													
M223T163_22	M222.7794T163_22	222.779401635345	222.773871230102	222.783221537566	162.754143969256	157.810084969232	165.872219709605	36	26	9	1		[M+K]+ 183.812	12													
M223T163_23	M222.7928T163_23	222.79281055152	222.789007773936	222.798731867317	162.775797050144	160.120932536515	164.870832080414	36	21	15	0		[M+K]+ 183.835	12													
M223T163_24	M222.8076T163_24	222.807613563929	222.804128444107	222.813619490964	162.747130592635	157.810084969232	164.870832080414	39	28	10	1		[M+K]+ 183.835	12													
M223T163_25	M222.8187T163_25	222.818670093662	222.814001263543	222.823733503571	162.933210765228	159.915813043987	164.198509950953	31	18	13	0			12													
M223T163_26	M222.8286T163_26	222.828608738934	222.823769575203	222.833727642193	162.729670628546	158.337203306728	164.197425162202	39	26	11	2		[M+K]+ 183.871	12													
M223T163_27	M222.8442T163_27	222.844245500741	222.839129092081	222.848625738606	162.817628590676	159.915813043987	164.198509950953	34	23	11	0		[M+K]+ 183.871	12													
M223T47_1	M222.8687T47_1	222.868702862218	222.867983594434	222.869346748856	46.9956176169471	46.5052482047503	47.2359109953459	57	42	15	0		[2M+Na+2K]3+ 283.845	101													
M223T163_28	M222.8665T163_28	222.866469675197	222.863753811175	222.872863860587	162.81987403566	160.269571494093	165.112282324868	38	27	11	0			12													
M223T163_29	M222.8797T163_29	222.879704612149	222.8739206871	222.883442800406	162.842667584951	159.98383405126	164.870832080414	38	26	11	1		[M+Na+NH3]+ 182.871	12													
M223T163_30	M222.8945T163_30	222.894528202618	222.889536495685	222.898710170093	162.783791502906	159.179635535362	164.870832080414	35	23	11	1		[M+Na+NH3]+ 182.871	12													
